name,mac address,encryption,lat,lon
None,CE:61:A3:74:E6:D5,WPA+AES-CCM WPA+TKIP,32.488429,-92.162323
None,CE:61:A3:79:E0:0D,WPA+AES-CCM WPA+TKIP,32.492998,-92.163315
None,CE:61:A3:8D:02:EA,WPA+AES-CCM WPA+TKIP,32.488415,-92.161499
None,CE:61:A3:8F:84:58,WPA+AES-CCM WPA+TKIP,32.491269,-92.133469
None,CE:61:A3:8F:95:B5,WPA+AES-CCM WPA+TKIP,32.495259,-92.179352
None,CE:61:A3:92:D3:4E,WPA+AES-CCM WPA+TKIP,32.493271,-92.176560
None,CE:61:A3:93:EA:AD,WPA+AES-CCM WPA+TKIP,32.491924,-92.174103
None,CE:61:A3:A1:0B:5D,WPA+AES-CCM WPA+TKIP,32.493733,-92.123626
xfinitywifi,CE:64:4B:14:A4:CD,None,32.493026,-92.166730
xfinitywifi,CE:64:4B:33:13:25,None,32.491669,-92.125503
xfinitywifi,CE:64:4B:36:E7:9B,None,32.491675,-92.167292
None,CE:7C:D1:26:93:08,WPA+AES-CCM WPA+PSK WPA+TKIP,32.500557,-92.130661
None,CE:7C:D1:29:C6:58,WPA+AES-CCM WPA+PSK WPA+TKIP,32.488442,-92.162992
None,CE:7C:D1:9D:AE:38,WPA+AES-CCM WPA+PSK WPA+TKIP,32.492210,-92.131973
